Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1529,2,1141,1403,1611,1737,16,ES,66,NA
1529,3,1096,1463,1229,1690,16,ES,66,NA
1114,1,1193,1201,1402,1298,14,ES,66,NA
1114,2,83,1078,NA,NA,14,ES,66,NA
1114,2,342,1869,1444,1140,6,ES,66,NA
1114,2,552,1227,1306,1067,6,ES,66,NA
1114,3,889,1340,1402,1565,14,ES,66,NA
1114,3,920,1565,1068,1195,14,ES,66,NA
1114,3,1016,1869,879,1306,6,ES,66,NA
1136,1,557,1032,1059,1322,1,ES,66,NA
1136,2,234,1032,1090,1059,1,PP,66,NA
1136,2,289,1261,1717,1083,7,ES,66,NA
1136,2,357,1105,1159,1322,1,ES,66,NA
1136,2,1010,1032,1159,1059,1,PP,66,NA
1136,3,687,1090,1032,1159,1,PP,66,NA
1136,3,1015,1263,1436,1105,1,ES,66,NA
1139,2,173,1272,1232,999,5,ES,66,NA
1139,2,987,1871,1232,999,5,ES,66,NA
1139,3,836,999,1226,1002,5,ES,66,NA
1139,3,935,1002,1226,1336,5,ES,66,NA
1119,1,439,1734,1215,1678,16,ES,66,NA
1119,1,497,1100,1482,1430,4,ES,66,NA
1119,1,602,1463,1264,1690,16,ES,66,NA
1119,1,1115,1703,NA,NA,16,ES,66,NA
1119,2,70,1264,1678,1084,16,ES,66,NA
1119,2,342,1217,NA,NA,4,ES,66,NA
1119,3,31,1270,1014,NA,4,ES,66,NA
1119,3,524,1100,1652,1014,4,PP,66,NA
1178,1,101,1005,1352,1162,3,ES,66,NA
1178,1,869,1226,NA,NA,5,PP,66,NA
1178,OT1,209,1352,NA,NA,3,ES,66,NA
1108,1,307,1869,NA,NA,6,ES,66,NA
1108,2,201,1745,1325,1255,9,ES,66,NA
1108,2,374,879,983,1038,6,SH,66,NA
1108,2,470,1869,1038,1104,6,ES,66,NA
1108,2,755,1096,1067,NA,6,ES,66,NA
